Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-04-21,130.0284423828125,168.1009979248047,250.04200744628906,248.0399932861328,389.66357421875
2021-04-22,128.50897216796875,165.45199584960938,246.76998901367188,239.89666748046875,386.1047668457031
2021-04-23,130.8270721435547,167.04400634765625,250.58900451660156,243.13333129882812,390.29107666015625
2021-04-26,131.2166748046875,170.4499969482422,250.9728546142578,246.06666564941406,391.1058349609375
2021-04-27,130.89527893066406,170.8715057373047,251.37583923339844,234.913330078125,391.02154541015625
2021-04-28,130.10633850097656,172.9250030517578,244.26548767089844,231.46665954589844,390.9091491699219
2021-04-29,130.0089111328125,173.5655059814453,242.2983856201172,225.6666717529297,393.4003601074219
2021-04-30,128.04147338867188,173.37100219726562,241.98175048828125,236.47999572753906,390.8154602050781
2021-05-03,129.09335327148438,169.32449340820312,241.6746826171875,228.3000030517578,391.65838623046875
2021-05-04,124.52532958984375,165.593505859375,237.76927185058594,224.53334045410156,389.2421569824219
2021-05-05,124.76883697509766,163.52699279785156,236.5026397705078,223.64666748046875,389.3638610839844
2021-05-06,126.36617279052734,165.31849670410156,239.6308135986328,221.17999267578125,392.4732360839844
2021-05-07,127.03939819335938,164.58050537109375,242.2504425048828,224.1233367919922,395.3295593261719
2021-05-10,123.7612075805664,159.52450561523438,237.1839141845703,209.67999267578125,391.4148864746094
2021-05-11,122.84408569335938,161.19549560546875,236.2723388671875,205.73333740234375,387.921630859375
2021-05-12,119.78054809570312,157.5970001220703,229.33474731445312,196.6300048828125,379.6802062988281
2021-05-13,121.9269790649414,158.07350158691406,233.20175170898438,190.56333923339844,384.24102783203125
2021-05-14,124.34658813476562,161.14500427246094,238.1146697998047,196.5800018310547,390.1412658691406
2021-05-17,123.19530487060547,163.51950073242188,235.2648162841797,192.27667236328125,389.1484680175781
2021-05-18,121.80990600585938,161.61399841308594,233.249755859375,192.6233367919922,385.7956848144531
2021-05-19,121.6537857055664,161.58999633789062,233.82681274414062,187.82000732421875,384.78424072265625
2021-05-20,124.21000671386719,162.38400268554688,237.0583953857422,195.5933380126953,388.9237060546875
2021-05-21,122.37579345703125,160.1540069580078,235.79847717285156,193.6266632080078,388.6051940917969
2021-05-24,124.00511932373047,162.24949645996094,241.19403076171875,202.14666748046875,392.5667724609375
2021-05-25,123.80998229980469,162.95249938964844,242.09808349609375,201.56333923339844,391.6958312988281
2021-05-26,123.7612075805664,163.25799560546875,241.87684631347656,206.3766632080078,392.4732360839844
2021-05-27,122.22943115234375,161.5054931640625,239.7801971435547,210.28334045410156,392.67919921875
2021-05-28,121.57574462890625,161.15350341796875,240.13601684570312,208.4066619873047,393.3815612792969
2021-06-01,121.25379180908203,160.9324951171875,237.9432373046875,207.96665954589844,393.03509521484375
2021-06-02,122.0147933959961,161.69949340820312,237.84701538085938,201.7066650390625,393.6531677246094
2021-06-03,120.53179931640625,159.35049438476562,236.31781005859375,190.94667053222656,392.1922607421875
2021-06-04,122.82456970214844,160.31100463867188,241.20362854003906,199.68333435058594,395.7791442871094
2021-06-07,122.8343505859375,159.90049743652344,244.10816955566406,201.7100067138672,395.3951416015625
2021-06-08,123.65389251708984,163.20550537109375,242.91555786132812,201.19667053222656,395.47943115234375
2021-06-09,124.03438568115234,164.0574951171875,243.8966064453125,199.5933380126953,394.88946533203125
2021-06-10,123.0392074584961,167.4824981689453,247.40707397460938,203.3733367919922,396.7250671386719
2021-06-11,124.2490234375,167.3415069580078,248.0322265625,203.29666137695312,397.380615234375
2021-06-14,127.30280303955078,169.19349670410156,249.955810546875,205.89666748046875,398.27032470703125
2021-06-15,126.48328399658203,169.156494140625,248.48426818847656,199.7866668701172,397.53985595703125
2021-06-16,126.98084259033203,170.7624969482422,247.54171752929688,201.6233367919922,395.3202209472656
2021-06-17,128.58091735839844,174.46200561523438,250.92718505859375,205.53334045410156,395.1891784667969
2021-06-18,127.28329467773438,174.34500122070312,249.51339721679688,207.77000427246094,389.85784912109375
2021-06-21,129.07846069335938,172.697998046875,252.59107971191406,206.94332885742188,395.43902587890625
2021-06-22,130.71759033203125,175.27200317382812,255.36097717285156,207.90333557128906,397.5531311035156
2021-06-23,130.4444122314453,175.1909942626953,255.130126953125,218.85667419433594,397.073974609375
2021-06-24,130.1614227294922,172.45399475097656,256.495849609375,226.60667419433594,399.4230041503906
2021-06-25,129.8687744140625,170.072998046875,254.8896942138672,223.9566650390625,400.8417663574219
2021-06-28,131.49810791015625,172.1945037841797,258.44830322265625,229.57333374023438,401.6497802734375
2021-06-29,133.0103759765625,172.40699768066406,261.0257873535156,226.9199981689453,401.86590576171875
2021-06-30,133.62501525878906,172.00799560546875,260.5449523925781,226.56666564941406,402.2041320800781
2021-07-01,133.927490234375,171.64849853515625,261.2182312011719,225.97332763671875,404.43096923828125
2021-07-02,136.55197143554688,175.5489959716797,267.0368957519531,226.3000030517578,407.52227783203125
2021-07-06,138.56179809570312,183.78700256347656,267.0465393066406,219.86000061035156,406.7799987792969
2021-07-07,141.0497283935547,184.82899475097656,269.2298278808594,214.88333129882812,408.217529296875
2021-07-08,139.75209045410156,186.57049560546875,266.815673828125,217.60333251953125,404.8914489746094
2021-07-09,141.57656860351562,185.9669952392578,267.31585693359375,218.98333740234375,409.21356201171875
2021-07-12,140.98146057128906,185.92750549316406,266.7195739746094,228.56666564941406,410.6793518066406
2021-07-13,142.09365844726562,183.8679962158203,270.2396545410156,222.84666442871094,409.2793273925781
2021-07-14,145.51821899414062,184.08399963378906,271.7112121582031,217.7933349609375,409.8899841308594
2021-07-15,144.86453247070312,181.55999755859375,270.2877197265625,216.86666870117188,408.4901123046875
2021-07-16,142.82540893554688,178.68150329589844,270.0184020996094,214.74000549316406,405.2860412597656
2021-07-19,138.9813690185547,177.47950744628906,266.4213562011719,215.4066619873047,399.3008117675781
2021-07-20,142.59121704101562,178.6595001220703,268.64306640625,220.1666717529297,405.02301025390625
2021-07-21,141.8594970703125,179.25999450683594,270.6435241699219,218.42999267578125,408.3021240234375
2021-07-22,143.22543334960938,181.90150451660156,275.2023620605469,216.4199981689453,409.1571350097656
